カラム,アイテム名,回答タイプ,カテゴリ数,質問文A,質問文B,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,SAMPLEID,N,,,回答者ID
2,ANSWERDATE,D,,,回答日時
3,CELL,SA,1,,回答グループ,回答グループ1
4,CELLNAME,FA,,,回答グループの名称
5,Q1,SA,2,,あなたの性別をお知らせください。,男性,女性
6,Q2,SA,7,,あなたの年齢をお知らせください。,10代,20代,30代,40代,50代,60代,その他
7,Q3,SA,47,,あなたがお住まいの都道府県をお知らせください。,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
8,Q4,SA,7,,あなたの職業をお知らせください。,トラッカー（車種と仕事内容も教えてください）,公務員,経営者・個人事業主,会社員,専業主婦（主夫）,学生,その他（具体的に）
9,Q4_1FA,FA,,,Q4_1 トラッカー（車種と仕事内容も教えてください）【　　　】
10,Q4_7FA,FA,,,Q4_7 その他（具体的に）【　　　】
11~36,Q5,MA,26,,今月号で面白かった記事を3つ教えてください,P11  品格と矜持が宿る百戦錬磨の精鋭車,P39  カミオントップアート,P62  男の城,P69  アートカンパニー,P73  道連れフォトストーリー,P78  ホットイベントリポート,P84  イベントアットランダム,P90  情報エクスプレス,P94  カミオンマーケット,P98  ハッピーハウス,P115 仕事で疲れた頭をリフレッシュ！ カミオン脳活パズル,P125 クラブニュース,P130 昭和トラック原風景,P132 ニュースラウンドアップ,P134 ショップメーカーリスト,P137 絵描き道,P147 トラックフォトギャラリー,P151 全国津々浦々ローカルヒーロー紀行,P160 アートトラックの新機軸！？ 究極のノーマル車を目指したニューウェーブ,P164 ギャルズコンテスト,P166 ユーロスタイル通信,P168 プラモワールド,P170 アート一発勝負,P174 アートの新風景,P179 カミオンキャブ,P187 カミオンBIGプレゼント
37~62,Q6,MA,26,,今月号でつまらなかった記事を3つ教えてください,P11  品格と矜持が宿る百戦錬磨の精鋭車,P39  カミオントップアート,P62  男の城,P69  アートカンパニー,P73  道連れフォトストーリー,P78  ホットイベントリポート,P84  イベントアットランダム,P90  情報エクスプレス,P94  カミオンマーケット,P98  ハッピーハウス,P115 仕事で疲れた頭をリフレッシュ！ カミオン脳活パズル,P125 クラブニュース,P130 昭和トラック原風景,P132 ニュースラウンドアップ,P134 ショップメーカーリスト,P137 絵描き道,P147 トラックフォトギャラリー,P151 全国津々浦々ローカルヒーロー紀行,P160 アートトラックの新機軸！？ 究極のノーマル車を目指したニューウェーブ,P164 ギャルズコンテスト,P166 ユーロスタイル通信,P168 プラモワールド,P170 アート一発勝負,P174 アートの新風景,P179 カミオンキャブ,P187 カミオンBIGプレゼント
63,Q7S1FA,FA,,Q5で選んだ3つの記事が面白いと思った理由をそれぞれ教えてください,選んだ理由【　　　】
64,Q8S1N,N,,今月号て良かったと思う写真とその理由を教えてくたさい,掲載ページ【　　　】
65,Q8S2FA,FA,,今月号て良かったと思う写真とその理由を教えてくたさい,その理由【　　　】
66,Q9,SA,2,,別冊「三菱ふそうのすへて新版」を購入されましたか? 購入した方は感想を、 しなかった方はその理由を教えてくたさい。,購入した,購入していない
67,Q9_1FA,FA,,,Q9_1 購入した【　　　】
68,Q9_2FA,FA,,,Q9_2 購入していない【　　　】
69,Q10,SA,2,,車体のヘイントは絵と文字のとちらか好きてすか。理由も教えてくたさい。,絵,文字
70,Q10_1FA,FA,,,Q10_1 絵【　　　】
71,Q10_2FA,FA,,,Q10_2 文字【　　　】
72,Q11S1FA,FA,,あなたの最近の趣味を教えてくたさい。,最近の趣味【　　　】
73,Q12S1FA,FA,,カミオンキャブのホットメッセージへひと言,ひと言【　　　】
74,Q12S2FA,FA,,カミオンキャブのホットメッセージへひと言,ペンネーム（あれば）【　　　】
75,Q13,SA,14,,「カミオンBIGプレゼント」からご希望のプレゼントをお選びください。,１-a　爆睡マット@ease（プロフィア用）　１名,１-b　爆睡マット@ease（ギガ用）　１名,１-c　爆睡マット@ease（スーパーグレート用）　１名,１-d　爆睡マット@ease（クオン用）　１名,２　アオシマ 1/32 日通ペリカン便　１名,３-a　アオシマ ザ・デコトラパーツ 07　１名,３-b　アオシマ ザ・デコトラパーツ 08　１名,４　由加丸船団 のぼり　７名,５　トップロード仙台 ステッカー　５名,６　カフェえどもんず復興支援ステッカー　５名,７　丸翔船団タオル　２名,８-a　アタック・オブ・ザ・ジャイアントティーチャーTシャツ（A）　１名,８-b　アタック・オブ・ザ・ジャイアントティーチャーTシャツ（B）　１名,９　脳活ドリル１〜５セット　４名
76,Q14S1FA,FA,,ご連絡先をお教えください。,氏名【　　　】
77,Q14S2N,N,,ご連絡先をお教えください。,郵便番号（ハイフン不要）【　　　】
78,Q14S3FA,FA,,ご連絡先をお教えください。,住所【　　　】
79,Q14S4N,N,,ご連絡先をお教えください。,電話番号（ハイフン不要）【　　　】
80,Q14S5FA,FA,,ご連絡先をお教えください。,メールアドレス【　　　】
